Node	dA	dNL	dNC	dH	dLCP	dIIC	dIICintra	dIICflux	dIICconnector	dF	dAWF	dPC	dPCintra	dPCflux	dPCconnector	
1	0.1389854	0.0825764	0.0000000	0.6948320	0.2777776	0.5440519	0.0011091	0.2325893	0.3077946	0.1994236	0.1233951	0.1157423	0.0025155	0.1131611	0.0016120	
2	0.0694927	0.2312139	0.0000000	0.3538912	0.1389371	0.1221925	0.0002773	0.1217216	-0.0023653	0.2781597	0.1006582	0.0944392	0.0006289	0.0938352	0.0015214	
3	0.0694927	0.2312139	0.0000000	0.3530071	0.1389371	0.1204768	0.0002773	0.1200209	-0.0023803	0.2809947	0.1015381	0.0961882	0.0006289	0.0947639	0.0023418	
4	0.0694927	0.0825764	0.0000000	0.6305780	0.1389371	0.4148669	0.0002773	0.1086534	0.3033773	0.1922084	0.0524364	0.0501429	0.0006289	0.0477830	0.0032773	
5	0.0694927	0.0660611	0.0000000	0.2732887	0.1389371	0.0996724	0.0002773	0.0993130	-0.0024768	0.1910957	0.0522961	0.0486788	0.0006289	0.0479874	0.0016088	
6	0.4864489	0.3137903	0.0000000	0.3800818	0.9705315	0.8930048	0.0135866	0.8787065	-0.0018472	0.3019244	0.6962675	0.7024032	0.0308148	0.6690400	0.0040947	
7	0.0694927	0.0660611	0.0000000	0.2732887	0.1389371	0.0996724	0.0002773	0.0993130	-0.0024768	0.1987928	0.0538646	0.0510764	0.0006289	0.0488083	0.0031855	
8	0.1389854	0.3963666	0.0000000	0.3996142	0.2777776	0.2633264	0.0011091	0.2621603	-0.0025019	0.3355054	0.2345546	0.2400530	0.0025155	0.2258863	0.0131975	
9	0.4864489	0.4954583	0.0000000	0.4028950	0.9705315	0.9188782	0.0135866	0.9045506	-0.0018179	0.3998324	0.9573718	0.9893073	0.0308148	0.8918832	0.0681556	
10	0.4169562	0.4789430	0.0000000	0.4136005	0.8321739	0.8173862	0.0099820	0.7906401	0.0142053	0.3974580	0.7623613	0.7536171	0.0226395	0.7087027	0.0238212	
11	0.5559416	0.4954583	0.0000000	0.4028950	1.1087930	1.0521620	0.0177457	1.0337720	-0.0019150	0.4021288	1.1006540	1.1501220	0.0402479	1.0190970	0.0923237	
12	0.0694927	0.4624277	0.0000000	0.4072739	0.1389371	0.1326337	0.0002773	0.1321430	-0.0023456	0.3989748	0.1349484	0.1430197	0.0006289	0.1244648	0.0194724	
13	0.9034051	0.4459125	0.0000000	0.3724774	1.7986490	1.6091420	0.0468598	1.5616640	-0.0019409	0.3951050	1.7751150	1.9173580	0.1062797	1.7413310	0.0712940	
14	0.0694927	0.4459125	0.0000000	0.3724774	0.1389371	0.1239861	0.0002773	0.1234553	-0.0023054	0.3795973	0.1530691	0.1420076	0.0006289	0.1414606	0.0014645	
15	0.5559416	0.4624277	0.0000000	0.3805169	1.1087930	1.0031620	0.0177457	0.9846533	-0.0017961	0.4203014	1.2450450	1.3722820	0.0402479	1.1211440	0.2124363	
16	0.0694927	0.3137903	0.0000000	0.3623865	0.1389371	0.1226257	0.0002773	0.1221060	-0.0023165	0.3394177	0.1212017	0.1207143	0.0006289	0.1191014	0.0025304	
17	0.0694927	0.3303055	0.0000000	0.3595340	0.1389371	0.1209187	0.0002773	0.1204053	-0.0023228	0.3689305	0.1369441	0.1490530	0.0006289	0.1331385	0.0168319	
18	0.0694927	0.4128819	0.0000000	0.3689480	0.1389371	0.1233362	0.0002773	0.1228083	-0.0023083	0.3920927	0.1511371	0.1438255	0.0006289	0.1432669	0.0014760	
19	0.0694927	0.0990917	0.0000000	0.6876835	0.1389371	0.4320580	0.0002773	0.1095506	0.3196712	0.2556495	0.0737514	0.0712003	0.0006289	0.0693574	0.0027604	
20	0.8339124	0.6440958	0.0000000	0.4058649	1.6608710	1.5486430	0.0399279	1.5080350	-0.0018783	0.4365178	1.8585260	1.8264370	0.0905579	1.6626290	0.0747959	
21	0.4169562	0.3137903	0.0000000	0.3623865	0.8321739	0.7351390	0.0099820	0.7243175	-0.0017194	0.3531039	0.6988498	0.7140668	0.0226395	0.6788771	0.0140966	
22	0.1389854	0.4624277	0.0000000	0.3805100	0.2777776	0.2506583	0.0011091	0.2493058	-0.0023155	0.4119805	0.3124950	0.2977424	0.0025155	0.2854665	0.0113067	
23	0.3474635	0.5615194	0.0000000	0.4182764	0.6937197	0.6686445	0.0069319	0.6611730	-0.0020193	0.4637696	0.7925007	0.7688869	0.0157218	0.7040823	0.0506291	
24	0.6949270	0.6275805	0.0000000	0.4023148	1.3850250	1.2870330	0.0277277	1.2585440	-0.0017982	0.4572490	1.6363220	1.6075790	0.0628874	1.4216960	0.1245415	
25	0.1389854	0.4789430	0.0000000	0.4183041	0.2777776	0.2664977	0.0011091	0.2653331	-0.0025034	0.4328181	0.2634826	0.2512548	0.0025155	0.2423993	0.0078863	
26	0.2084781	0.5615194	0.0000000	0.4298039	0.4165216	0.4060720	0.0024955	0.4035175	-0.0025000	0.4544069	0.4245663	0.4192625	0.0056599	0.3848380	0.0303108	
27	0.2084781	0.6440958	0.0000000	0.4001806	0.4165216	0.3802592	0.0024955	0.3779311	-0.0027262	0.4499488	0.5013080	0.6213177	0.0056599	0.4552234	0.1619808	
28	0.2779708	0.5615194	0.0000000	0.3925209	0.5551689	0.5037601	0.0044364	0.4991019	-0.0023372	0.4422658	0.6213557	0.7210139	0.0100620	0.5940276	0.1184706	
